celltype,marker
seminal_vesicle,gene_5742
semen-secreting_cell_of_the_male_reproductive_system,gene_5742
accessory_gland,gene_5742
adult_fat_cell,gene_9158
spermatid,STRG.7827
spermatocyte,STRG.7827
spermatocyte,STRG.7827
spermatid,STRG.7827
spermatocyte,STRG.7827
accessory_gland,gene_8253
epithelial,gene_8253
seminal_vesicle,gene_8253
accessory_gland,gene_8253
spermatid,gene_8253
epithelial,gene_8253
epithelial,gene_844
adult_fat_cell,gene_844
epithelial,gene_5547
cyst,gene_5588
adult_fat_cell,PB.4491
cyst,gene_8576
epithelial,g5944
cyst,gene_5315
spermatocyte,g5021
epithelial,PB.6040
accessory_gland,PB.6040
spermatocyte,gene_3320
spermatocyte,gene_6361
accessory_gland,gene_5585
accessory_gland,g5646
epithelial,g5646
seminal_vesicle,g5646
accessory_gland,PB.9481
epithelial,PB.9481
cyst,gene_8596
muscle_cell,gene_1899
epithelial,gene_5013
epithelial,gene_7720
spermatocyte,gene_6689
spermatocyte,gene_3402
spermatocyte,gene_6689
spermatocyte,gene_3402
accessory_gland,gene_3719
accessory_gland,gene_3676
epithelial,g9732
spermatocyte,gene_1590
spermatocyte,gene_1590
spermatocyte,gene_1590
spermatocyte,g10307
adult_fat_cell,gene_1647
semen-secreting_cell_of_the_male_reproductive_system,g10581
muscle_cell,PB.10088
cyst,gene_8748
adult_fat_cell,PB.10254
cyst,gene_3449
cyst,gene_3449
epithelial,gene_3449
cyst,gene_3898
spermatocyte,g9108
hemocyte,gene_787
accessory_gland,gene_4988
semen-secreting_cell_of_the_male_reproductive_system,gene_4988
epithelial,PB.10234
adult_fat_cell,gene_3128
adult_fat_cell,gene_8187
adult_fat_cell,gene_3972
adult_fat_cell,gene_1183
muscle_cell,gene_1183
epithelial,PB.9002
cyst,PB.9002
accessory_gland,gene_1143
semen-secreting_cell_of_the_male_reproductive_system,gene_1143
cyst,gene_3175
cyst,gene_9444
cyst,gene_3175
cyst,gene_9444
hemocyte,gene_3175
hemocyte,gene_9444
cyst,gene_3175
cyst,gene_9444
hemocyte,gene_1734
epithelial,gene_1734
spermatocyte,gene_1920
spermatocyte,gene_1920
spermatid,gene_1920
cyst,gene_1324
cyst,gene_3265
spermatocyte,gene_1430
spermatocyte,gene_1430
spermatocyte,gene_1015
spermatocyte,gene_1039
spermatocyte,gene_1039
cyst,gene_2972
adult_fat_cell,PB.8634
spermatocyte,STRG.14856
adult_fat_cell,gene_2981
epithelial,g4125
spermatocyte,gene_4210
adult_fat_cell,gene_7543
epithelial,PB.3044
epithelial,gene_7554
epithelial,gene_7554
spermatocyte,gene_2383
spermatocyte,gene_9022
spermatocyte,gene_2317
cyst,gene_9022
cyst,gene_2317
epithelial,gene_9022
epithelial,gene_2317
spermatid,gene_9022
spermatid,gene_2317
spermatid,gene_9022
spermatid,gene_2317
spermatocyte,gene_7448
cyst,gene_2265
cyst,gene_2248
seminal_vesicle,PB.1946
epithelial,PB.1946
accessory_gland,PB.1946
accessory_gland,PB.1946
adult_fat_cell,gene_6482
muscle_cell,gene_6966
spermatocyte,g4664
epithelial,PB.2929
accessory_gland,PB.2929
muscle_cell,gene_4924
spermatocyte,gene_4914
spermatid,gene_4914
epithelial,gene_4914
spermatid,gene_4914
cyst,gene_4914
accessory_gland,gene_2479
accessory_gland,gene_3130
spermatocyte,gene_4704
epithelial,PB.2341
epithelial,PB.2890
spermatocyte,gene_4032
epithelial,gene_7643
epithelial,gene_5370
cyst,PB.2033
epithelial,PB.2033
cyst,gene_6602
spermatocyte,STRG.4188
epithelial,gene_4591
adult_fat_cell,gene_4590
epithelial,gene_4589
adult_fat_cell,gene_4254
spermatocyte,gene_6933
spermatocyte,gene_2993
spermatocyte,STRG.6647
cyst,gene_933
cyst,gene_7522
cyst,gene_933
cyst,gene_7522
cyst,g3735
spermatocyte,STRG.4614
seminal_vesicle,g2834
epithelial,g2834
spermatid,gene_6907
cyst,gene_6712
epithelial,PB.2219
epithelial,PB.2219
accessory_gland,gene_7890
spermatid,gene_7890
seminal_vesicle,gene_7890
semen-secreting_cell_of_the_male_reproductive_system,gene_7890
spermatid,g668
cyst,g668
spermatocyte,gene_6451
epithelial,gene_3945
adult_fat_cell,gene_5628
adult_fat_cell,gene_7388
adult_fat_cell,gene_6434
adult_fat_cell,gene_7388
adult_fat_cell,gene_5628
adult_fat_cell,gene_7360
muscle_cell,PB.4373
muscle_cell,gene_4497
muscle_cell,gene_7674
adult_fat_cell,gene_4899
spermatid,gene_2180
spermatid,gene_2180
spermatocyte,gene_2180
epithelial,gene_2180
cyst,PB.7792
epithelial,PB.7792
cyst,PB.7792
adult_fat_cell,gene_2392
adult_fat_cell,PB.6159
cyst,g5985
semen-secreting_cell_of_the_male_reproductive_system,g5985
hemocyte,g5985
cyst,g5985
epithelial,g5985
cyst,g5985
cyst,PB.4495
hemocyte,PB.4495
cyst,PB.4495
cyst,PB.4495
epithelial,PB.4495
hemocyte,gene_2001
adult_fat_cell,gene_2001
accessory_gland,gene_299
epithelial,gene_1191
adult_fat_cell,PB.10047
muscle_cell,gene_10004
muscle_cell,gene_844
spermatocyte,gene_1517
muscle_cell,STRG.7660
hemocyte,gene_5634
epithelial,g5205
epithelial,gene_10466
cyst,gene_972
cyst,gene_972
hemocyte,gene_2616
hemocyte,gene_2617
spermatocyte,gene_4651
cyst,gene_9191
cyst,gene_9191
spermatid,gene_6153
spermatid,gene_6153
spermatocyte,gene_6153
spermatocyte,gene_6153
accessory_gland,gene_8745
accessory_gland,gene_8745
semen-secreting_cell_of_the_male_reproductive_system,gene_8745
accessory_gland,gene_8745
epithelial,gene_8745
seminal_vesicle,gene_8745
epithelial,gene_8745
spermatid,gene_8745
cyst,gene_2376
adult_fat_cell,gene_7999
epithelial,gene_5717
cyst,gene_7708
epithelial,gene_8223
accessory_gland,PB.4540
semen-secreting_cell_of_the_male_reproductive_system,PB.4540
epithelial,PB.4540
epithelial,gene_3100
